Date,Open,High,Low,Close,Volume
16-Nov-17,171.18,171.87,170.30,171.10,23637484
15-Nov-17,169.97,170.32,168.38,169.08,29158070
14-Nov-17,173.04,173.48,171.18,171.34,24782487
13-Nov-17,173.50,174.50,173.40,173.97,16982080
10-Nov-17,175.11,175.38,174.27,174.67,25145500
9-Nov-17,175.11,176.10,173.14,175.88,29482596
8-Nov-17,174.66,176.24,174.33,176.24,24409527
7-Nov-17,173.91,175.25,173.60,174.81,24361485
6-Nov-17,172.36,174.99,171.72,174.25,35026306
3-Nov-17,174.00,174.26,171.12,172.50,59398631
2-Nov-17,166.60,168.50,165.28,168.11,41393373
1-Nov-17,169.87,169.94,165.61,166.89,33637762
31-Oct-17,167.90,169.65,166.94,169.04,36046828
30-Oct-17,163.89,168.07,163.72,166.72,44700772
27-Oct-17,159.29,163.60,158.70,163.05,44454160
26-Oct-17,157.23,157.83,156.78,157.41,17000469
25-Oct-17,156.91,157.55,155.27,156.41,21207098
24-Oct-17,156.29,157.42,156.20,157.10,17757230
23-Oct-17,156.89,157.69,155.50,156.17,21984327
20-Oct-17,156.61,157.75,155.96,156.25,23974146
19-Oct-17,156.75,157.08,155.02,155.98,42584166
18-Oct-17,160.42,160.71,159.60,159.76,16374164
17-Oct-17,159.78,160.87,159.23,160.47,18997275
16-Oct-17,157.90,160.00,157.65,159.88,24121452
13-Oct-17,156.73,157.28,156.41,156.99,16394188
12-Oct-17,156.35,157.37,155.73,156.00,16125054
11-Oct-17,155.97,156.98,155.75,156.55,16905640
10-Oct-17,156.06,158.00,155.10,155.90,15617014
9-Oct-17,155.81,156.73,155.48,155.84,16262923
6-Oct-17,154.97,155.49,154.56,155.30,17407558
5-Oct-17,154.18,155.44,154.05,155.39,21283769
4-Oct-17,153.63,153.86,152.46,153.48,20163750
3-Oct-17,154.01,155.09,153.91,154.48,16230293
2-Oct-17,154.26,154.45,152.72,153.81,18698842
29-Sep-17,153.21,154.13,152.00,154.12,26299810
28-Sep-17,153.89,154.28,152.70,153.28,22005455
27-Sep-17,153.80,154.72,153.54,154.23,25182779
26-Sep-17,151.78,153.92,151.69,153.14,36660045
25-Sep-17,149.99,151.83,149.16,150.55,44387336
22-Sep-17,151.54,152.27,150.56,151.89,46645443
21-Sep-17,155.80,155.80,152.75,153.39,37511661
20-Sep-17,157.90,158.26,153.83,156.07,52951364
19-Sep-17,159.51,159.77,158.44,158.73,20810632
18-Sep-17,160.11,160.50,158.00,158.67,28269435
15-Sep-17,158.47,160.97,158.00,159.88,49114602
14-Sep-17,158.99,159.40,158.09,158.28,23760749
13-Sep-17,159.87,159.96,157.91,159.65,44907361
12-Sep-17,162.61,163.96,158.77,160.86,71714046
11-Sep-17,160.50,162.05,159.89,161.50,31580798
8-Sep-17,160.86,161.15,158.53,158.63,28611535
7-Sep-17,162.09,162.24,160.36,161.26,21928502
6-Sep-17,162.71,162.99,160.52,161.91,21651726
5-Sep-17,163.75,164.25,160.56,162.08,29536314
1-Sep-17,164.80,164.94,163.63,164.05,16591051
31-Aug-17,163.64,164.52,163.48,164.00,26785096
30-Aug-17,163.80,163.89,162.61,163.35,27269584
29-Aug-17,160.10,163.12,160.00,162.91,29516910
28-Aug-17,160.14,162.00,159.93,161.47,25965972
25-Aug-17,159.65,160.56,159.27,159.86,25480063
24-Aug-17,160.43,160.74,158.55,159.27,19818918
23-Aug-17,159.07,160.47,158.88,159.98,19399081
22-Aug-17,158.23,160.00,158.02,159.78,21604585
21-Aug-17,157.50,157.89,155.11,157.21,26368528
18-Aug-17,157.86,159.50,156.72,157.50,27428069
17-Aug-17,160.52,160.71,157.84,157.86,27940565
16-Aug-17,161.94,162.51,160.15,160.95,27671612
15-Aug-17,160.66,162.20,160.14,161.60,29465487
14-Aug-17,159.32,160.21,158.75,159.85,22122734
11-Aug-17,156.60,158.57,156.07,157.48,26257096
10-Aug-17,159.90,160.00,154.63,155.32,40804273
9-Aug-17,159.26,161.27,159.11,161.06,26131530
8-Aug-17,158.60,161.83,158.27,160.08,36205896
7-Aug-17,157.06,158.92,156.67,158.81,21870321
4-Aug-17,156.07,157.40,155.69,156.39,20559852
3-Aug-17,157.05,157.21,155.02,155.57,27097296
2-Aug-17,159.28,159.75,156.16,157.14,69936800
1-Aug-17,149.10,150.22,148.41,150.05,35368645
31-Jul-17,149.90,150.33,148.13,148.73,19845920
28-Jul-17,149.89,150.23,149.19,149.50,17213653
27-Jul-17,153.75,153.99,147.30,150.56,32476337
26-Jul-17,153.35,153.93,153.06,153.46,15780951
25-Jul-17,151.80,153.84,151.80,152.74,18853932
24-Jul-17,150.58,152.44,149.90,152.09,21493160
21-Jul-17,149.99,150.44,148.88,150.27,26252630
20-Jul-17,151.50,151.74,150.19,150.34,17243748
19-Jul-17,150.48,151.42,149.95,151.02,20922969
18-Jul-17,149.20,150.13,148.67,150.08,17868792
17-Jul-17,148.82,150.90,148.57,149.56,23793456
14-Jul-17,147.97,149.33,147.33,149.04,20132061
13-Jul-17,145.50,148.49,145.44,147.77,25199373
12-Jul-17,145.87,146.18,144.82,145.74,24884478
11-Jul-17,144.73,145.85,144.38,145.53,19781836
10-Jul-17,144.11,145.95,143.37,145.06,21090636
7-Jul-17,142.90,144.75,142.90,144.18,19201712
6-Jul-17,143.02,143.50,142.41,142.73,24128782
5-Jul-17,143.69,144.79,142.72,144.09,21569557
3-Jul-17,144.88,145.30,143.10,143.50,14277848
30-Jun-17,144.45,144.96,143.78,144.02,23024107
29-Jun-17,144.71,145.13,142.28,143.68,31499368
28-Jun-17,144.49,146.11,143.16,145.83,22082432
27-Jun-17,145.01,146.16,143.62,143.73,24761891
26-Jun-17,147.17,148.28,145.38,145.82,25692361
23-Jun-17,145.13,147.16,145.11,146.28,35439389
22-Jun-17,145.77,146.70,145.12,145.63,19106294
21-Jun-17,145.52,146.07,144.61,145.87,21265751
20-Jun-17,146.87,146.87,144.94,145.01,24900073
19-Jun-17,143.66,146.74,143.66,146.34,32541404
16-Jun-17,143.78,144.50,142.20,142.27,50361093
15-Jun-17,143.32,144.48,142.21,144.29,32165373
14-Jun-17,147.50,147.50,143.84,145.16,31531232
13-Jun-17,147.16,147.45,145.15,146.59,34165445
12-Jun-17,145.74,146.09,142.51,145.42,72307330
9-Jun-17,155.19,155.19,146.02,148.98,64882657
8-Jun-17,155.25,155.54,154.40,154.99,21250798
7-Jun-17,155.02,155.98,154.48,155.37,21069647
6-Jun-17,153.90,155.81,153.78,154.45,26624926
5-Jun-17,154.34,154.45,153.46,153.93,25331662
2-Jun-17,153.58,155.45,152.89,155.45,27770715
1-Jun-17,153.17,153.33,152.22,153.18,16404088
31-May-17,153.97,154.17,152.38,152.76,24451164
30-May-17,153.42,154.43,153.33,153.67,20126851
26-May-17,154.00,154.24,153.31,153.61,21927637
25-May-17,153.73,154.35,153.03,153.87,19235598
24-May-17,153.84,154.17,152.67,153.34,19219154
23-May-17,154.90,154.90,153.31,153.80,19918871
22-May-17,154.00,154.58,152.91,153.99,22966437
19-May-17,153.38,153.98,152.63,153.06,26960788
18-May-17,151.27,153.34,151.13,152.54,33568215
17-May-17,153.60,154.57,149.71,150.25,50767678
16-May-17,155.94,156.06,154.72,155.47,20048478
15-May-17,156.01,156.65,155.05,155.70,26009719
12-May-17,154.70,156.42,154.67,156.10,32527017
11-May-17,152.45,154.07,152.31,153.95,27255058
10-May-17,153.63,153.94,152.11,153.26,25805692
9-May-17,153.87,154.88,153.45,153.99,39130363
8-May-17,149.03,153.70,149.03,153.01,48752413
5-May-17,146.76,148.98,146.76,148.96,27327725
4-May-17,146.52,147.14,145.81,146.53,23371872
3-May-17,145.59,147.49,144.27,147.06,45697034
2-May-17,147.54,148.09,146.84,147.51,45352194
1-May-17,145.10,147.20,144.96,146.58,33602943
28-Apr-17,144.09,144.30,143.27,143.65,20860358
27-Apr-17,143.92,144.16,143.31,143.79,14246347
26-Apr-17,144.47,144.60,143.38,143.68,20041241
25-Apr-17,143.91,144.90,143.87,144.53,18871501
24-Apr-17,143.50,143.95,143.18,143.64,17134333
21-Apr-17,142.44,142.68,141.85,142.27,17320928
20-Apr-17,141.22,142.92,141.16,142.44,23319562
19-Apr-17,141.88,142.00,140.45,140.68,17328375
18-Apr-17,141.41,142.04,141.11,141.20,14697544
17-Apr-17,141.48,141.88,140.87,141.83,16582094
13-Apr-17,141.91,142.38,141.05,141.05,17822880
12-Apr-17,141.60,142.15,141.01,141.80,20350000
11-Apr-17,142.94,143.35,140.06,141.63,30379376
10-Apr-17,143.60,143.88,142.90,143.17,18933397
7-Apr-17,143.73,144.18,143.27,143.34,16672198
6-Apr-17,144.29,144.52,143.45,143.66,21149034
5-Apr-17,144.22,145.46,143.81,144.02,27717854
4-Apr-17,143.25,144.89,143.17,144.77,19891354
3-Apr-17,143.71,144.12,143.05,143.70,19985714
31-Mar-17,143.72,144.27,143.01,143.66,19661651
30-Mar-17,144.19,144.50,143.50,143.93,21207252
29-Mar-17,143.68,144.49,143.19,144.12,29189955
